Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
1/2/2014,2014,1,2,Thursday,0,2014-00,78.72,79.47,78.5,78.91,6878000,67.34,0,67.34,67.34
1/3/2014,2014,1,3,Friday,0,2014-00,78.81,79.13,78.52,78.65,4957400,67.11,-0.003295017,67.225,67.225
1/6/2014,2014,1,6,Monday,1,2014-01,78.86,78.91,77.79,78.21,7280200,66.74,-0.00559439,67.06333333,67.06333333
1/7/2014,2014,1,7,Tuesday,1,2014-01,78.17,78.85,77.92,78.45,5012300,66.94,0.003069006,67.0325,67.0325
1/8/2014,2014,1,8,Wednesday,1,2014-01,78.5,78.51,77.6,77.83,5955200,66.41,-0.00790342,66.908,66.908
1/9/2014,2014,1,9,Thursday,1,2014-01,78.39,78.4,77.49,78.09,5916300,66.64,0.003340396,66.86333333,66.86333333
1/10/2014,2014,1,10,Friday,1,2014-01,78.31,78.72,77.54,78.04,5181300,66.59,-0.000639796,66.82428571,66.82428571
1/13/2014,2014,1,13,Monday,2,2014-02,77.6,77.97,77.24,77.49,6157900,66.12,-0.00704799,66.73625,66.73625
1/14/2014,2014,1,14,Tuesday,2,2014-02,77.46,78,77.38,77.96,4088200,66.52,0.006065356,66.71222222,66.71222222
1/15/2014,2014,1,15,Wednesday,2,2014-02,77.96,78.1,77.57,77.66,4992400,66.27,-0.003848044,66.668,66.668
1/16/2014,2014,1,16,Thursday,2,2014-02,77.39,77.47,76.35,76.76,7201500,65.5,-0.01158907,66.56181818,66.56181818
1/17/2014,2014,1,17,Friday,2,2014-02,76.73,76.82,76.03,76.19,11440700,65.01,-0.007425383,66.4325,66.4325
1/21/2014,2014,1,21,Tuesday,3,2014-03,76.25,76.39,74.86,75.84,8971100,64.72,-0.00459401,66.30076923,66.30076923
1/22/2014,2014,1,22,Wednesday,3,2014-03,76.08,76.08,75.03,75.35,5853700,64.3,-0.006460919,66.15785714,66.15785714
1/23/2014,2014,1,23,Thursday,3,2014-03,74.84,75.12,74.47,74.96,6006300,63.96,-0.005176338,65.91642857,66.01133333
1/24/2014,2014,1,24,Friday,3,2014-03,74.73,75.12,74.23,74.42,9332800,63.5,-0.007203521,65.65857143,65.854375
1/27/2014,2014,1,27,Monday,4,2014-04,74.13,74.37,73.83,74.15,9088700,63.27,-0.003627834,65.41071429,65.70235294
